"method","path","callsite_count","source_files","representative_line","laravel_status","laravel_methods","laravel_handlers","aspnet_status","aspnet_methods","aspnet_controllers"
"UNRESOLVED","/api/v2/members/{id}/endorsements","1","pages/profile/ProfilePage.tsx","244","exists-unambiguous-method","GET","[\App\Http\Controllers\Api\EndorsementController::class, 'getEndorsements']","exists-compatibility","GET","Compatibility"
"UNRESOLVED","/api/v2/members/nearby","1","pages/members/MembersPage.tsx","231","exists-unambiguous-method","GET","[\App\Http\Controllers\Api\UsersController::class, 'nearby']","exists-unambiguous-method","GET","MemberParity"
"GET","/api/v2/members/search","1","pages/jobs/CreateJobPage.tsx","633","missing","","","exists","GET","LaravelReactFrontendContract"
"GET","/api/v2/members/top-endorsed","1","components/endorsements/TopEndorsedWidget.tsx","53","exists","GET","[\App\Http\Controllers\Api\EndorsementController::class, 'getTopEndorsed']","exists-compatibility","GET","ReactFrontendCompatibility"
"GET","/api/v2/mentions/search","2","components/social/MentionInput.tsx;hooks/useSocialInteractions.ts","62","exists","GET","[\App\Http\Controllers\Api\MentionController::class, 'search']","exists","GET","MemberParity"
"POST","/api/v2/merchant-onboarding/complete","1","pages/marketplace/MerchantOnboardingPage.tsx","359","exists","POST","[\App\Http\Controllers\Api\MerchantOnboardingController::class, 'complete']","exists","POST","MemberParity"
"POST","/api/v2/merchant-onboarding/image","2","pages/marketplace/MerchantOnboardingPage.tsx","392","exists","POST","[\App\Http\Controllers\Api\MerchantOnboardingController::class, 'uploadImage']","exists","POST","MemberParity"
"GET","/api/v2/merchant-onboarding/status","2","pages/marketplace/MerchantOnboardingPage.tsx;pages/marketplace/MyListingsPage.tsx","228","exists","GET","[\App\Http\Controllers\Api\MerchantOnboardingController::class, 'status']","exists","GET","MemberParity"
"POST","/api/v2/merchant-onboarding/step-1","1","pages/marketplace/MerchantOnboardingPage.tsx","295","exists","POST","[\App\Http\Controllers\Api\MerchantOnboardingController::class, 'saveStep1']","exists","POST","MemberParity"
"POST","/api/v2/merchant-onboarding/step-2","1","pages/marketplace/MerchantOnboardingPage.tsx","318","exists","POST","[\App\Http\Controllers\Api\MerchantOnboardingController::class, 'saveStep2']","exists","POST","MemberParity"
"POST","/api/v2/merchant-onboarding/step-3","1","pages/marketplace/MerchantOnboardingPage.tsx","339","exists","POST","[\App\Http\Controllers\Api\MerchantOnboardingController::class, 'saveStep3']","exists","POST","MemberParity"
"GET","/api/v2/messages","2","pages/messages/MessagesPage.tsx","143","exists","GET","[\App\Http\Controllers\Api\MessagesController::class, 'conversations']","exists","GET","Messages"
"POST","/api/v2/messages","4","components/feed/ShareViaDMModal.tsx;pages/messages/ConversationPage.tsx","126","exists","POST","[\App\Http\Controllers\Api\MessagesController::class, 'send']","exists","POST","Messages"
"DELETE","/api/v2/messages/{id}","1","pages/messages/ConversationPage.tsx","1626","exists","DELETE","[\App\Http\Controllers\Api\MessagesController::class, 'deleteMessage']","exists","DELETE","DirectMessageMutations"
"GET","/api/v2/messages/{id}","4","pages/messages/ConversationPage.tsx","641","exists","GET","[\App\Http\Controllers\Api\MessagesController::class, 'show']","exists","GET","Messages"
